driverId,Entries,Championships,Wins,Podiums,Pole positions,Fastest laps,First entry,First win,Last win,Last entry
1,380 (380 starts),"7 (2008,2014,2015,2017,2018,2019,2020)",105,202,104,68,2007 Australian Grand Prix,2007 Canadian Grand Prix,2024 Belgian Grand Prix,2025 Abu Dhabi Grand Prix
2,186 (183 starts),0,0,13,1,2,2000 Australian Grand Prix,,,2011 Hungarian Grand Prix
3,206 (206 starts),1 (2016),23,57,30,20,2006 Bahrain Grand Prix,2012 Chinese Grand Prix,2016 Japanese Grand Prix,2016 Abu Dhabi Grand Prix
4,428 (425 starts),1 (2018â€“19),5,7,22,2,2001 Australian Grand Prix,2003 Hungarian Grand Prix,2013 Spanish Grand Prix,2025 Abu Dhabi Grand Prix
5,112 (111 starts),0,5,0,1,2,2007 Australian Grand Prix,2008 Hungarian Grand Prix,,2013 Brazilian Grand Prix
6,36 (36 starts),"2 (2012,2014)",9,31,0,5,2007 Brazilian Grand Prix,,,2009 Abu Dhabi Grand Prix
7,27 (27 starts),0,0,0,0,0,2008 Australian Grand Prix,,,2009 German Grand Prix
8,353 (349 starts),0,21,0,18,46,2001 Australian Grand Prix,2003 Malaysian Grand Prix,2018 United States Grand Prix,2021 Abu Dhabi Grand Prix
9,99 (99 starts),1 (WRC2 2013),1,6 (WRC2),1,1,2006 Hungarian Grand Prix,2008 Canadian Grand Prix,,2021 Italian Grand Prix
10,95 (91 starts),0,5,15,0,5,2004 Canadian Grand Prix,,,2012 Brazilian Grand Prix
